"region","city","min","max"
Санкт-Петербург,Санкт-Петербург,2.0,1572.0
Ленинградская область,Любань,3.0,275.0
Ленинградская область,Гатчина,3.0,988.0
Ленинградская область,Выборг,3.0,1005.0
Ленинградская область,Сертолово,3.0,1055.0
Ленинградская область,Колпино,3.0,1131.0
Ленинградская область,Ломоносов,3.0,1160.0
Ленинградская область,Коммунар,3.0,1231.0
Ленинградская область,Кудрово,3.0,1313.0
Ленинградская область,Шлиссельбург,3.0,1314.0
Ленинградская область,Пушкин,3.0,1512.0
Ленинградская область,Кириши,4.0,690.0
Ленинградская область,Кингисепп,4.0,726.0
Ленинградская область,Всеволожск,4.0,1161.0
Ленинградская область,Сланцы,5.0,924.0
Ленинградская область,Красное Село,5.0,1265.0
Ленинградская область,Павловск,5.0,1485.0
Ленинградская область,Сестрорецк,5.0,1489.0
Ленинградская область,Тихвин,6.0,469.0
Ленинградская область,Бокситогорск,7.0,273.0
Ленинградская область,Сясьстрой,7.0,350.0
Ленинградская область,Сосновый Бор,7.0,370.0
Ленинградская область,Кировск,7.0,606.0
Ленинградская область,Луга,7.0,877.0
Ленинградская область,Тосно,7.0,906.0
Ленинградская область,Никольское,7.0,979.0
Ленинградская область,Кронштадт,7.0,1183.0
Ленинградская область,Петергоф,7.0,1273.0
Ленинградская область,Приморск,8.0,183.0
Ленинградская область,Каменногорск,9.0,555.0
Ленинградская область,Отрадное,9.0,1140.0
Ленинградская область,Волхов,11.0,750.0
Ленинградская область,Пикалёво,12.0,786.0
Ленинградская область,Зеленогорск,13.0,496.0
Ленинградская область,Приозерск,13.0,617.0
Ленинградская область,Волосово,25.0,903.0
Ленинградская область,Светогорск,27.0,607.0
Ленинградская область,Новая Ладога,29.0,160.0
Ленинградская область,Лодейное Поле,35.0,1396.0
Ленинградская область,Ивангород,41.0,507.0
Ленинградская область,Подпорожье,42.0,581.0
Ленинградская область,Высоцк,45.0,45.0
